F00073+2538   NGC23
F00085-1223   NGC34
F00163-1039   Arp256
F00344-3349   ESO350-IG038
F00402-2349   NGC232
F00506+7248   MCG+12-02-001
F00548+4331   NGC317B
F01053-1746   IC1623
F01076-1707   MCG-03-04-014
F01159-4443   ESO244-G012
F01173+1405   CGCG436-030
F01325-3623   ESO353-G020
F01341-3735   ESO297-G011/012
F01364-1042   /
F01417+1651   IIIZw035
F01484+2220   NGC695
F01519+3640   UGC01385
F02071-1023   NGC838
F02070+3857   NGC828
F02114+0456   IC214
F02152+1418   NGC877
F02203+3158   MCG+05-06-036
F02208+4744   UGC01845
F02281-0309   NGC958
F02345+2053   NGC992
F02401-0013   NGC1068
F02435+1253   UGC02238
F02437+2122   /
F02512+1446   UGC02369
F03117+4151   UGC02608
F03164+4119   NGC1275
F03217+4022   /
F03316-3618   NGC1365
F03359+1523   /
F03514+1546   CGCG465-012
03582+6012    /
F04097+0525   UGC02982
F04118-3207   ESO420-G013
F04191-1855   ESO550-IG025
F04210-4042   NGC1572
04271+3849    /
F04315-0840   NGC1614
F04326+1904   UGC03094
F04454-4838   ESO203-IG001
F04502-3304   MCG-05-12-006
F05053-0805   NGC1797
F05054+1718   CGCG468-002
05083+2441    /
F05081+7936   VIIZw031
05129+5128    /
F05189-2524   /
F05187-1017   /
05368+4940    MCG+08-11-002
F05365+6921   NGC1961
F05414+5840   UGC03351
05442+1732    /
F06076-2139   /
F06052+8027   UGC03410
F06107+7822   NGC2146
F06259-4708   ESO255-IG007
F06295-1735   ESO557-G002
F06538+4628   UGC03608
F06592-6313   /
F07027-6011   AM0702-601
07063+2043    NGC2342
F07160-6215   NGC2369
07251-0248    /
F07256+3355   NGC2388
F07329+1149   MCG+02-20-003
08355-4944    /
F08339+6517   /
F08354+2555   NGC2623
08424-3130    ESO432-IG006
F08520-6850   ESO060-IG016
F08572+3915   /
09022-3615    /
F09111-1007   /
F09126+4432   UGC04881
F09320+6134   UGC05101
F09333+4841   MCG+08-18-013
F09437+0317   Arp303
F10015-0614   NGC3110
F10038-3338   ESO374-IG032
F10173+0828   /
F10196+2149   NGC3221
F10257-4339   NGC3256
F10409-4556   ESO264-G036
F10567-4310   ESO264-G057
F10565+2448   /
F11011+4107   MCG+07-23-019
F11186-0242   CGCG011-076
F11231+1456   IC2810
F11255-4120   ESO319-G022
F11257+5850   NGC3690
F11506-3851   ESO320-G030
F12043-3140   ESO440-IG058
F12112+0305   /
F12116+5448   NGC4194
F12115-4656   ESO267-G030
12116-5615    /
F12224-0624   /
F12243-0036   NGC4418
F12540+5708   Mrk231
F12590+2934   NGC4922
F12592+0436   CGCG043-099
F12596-1529   MCG-02-33-098
F13001-2339   ESO507-G070
13052-5711    /
F13126+2453   IC0860
13120-5453    /
F13136+6223   VV250a
F13182+3424   UGC08387
F13188+0036   NGC5104
F13197-1627   MCG-03-34-064
F13229-2934   NGC5135
13242-5713    ESO173-G015
F13301-2356   IC4280
F13362+4831   NGC5256
F13373+0105   NGC5257/8
F13428+5608   Mrk273
F13470+3530   UGC08739
F13478-4848   ESO221-IG010
F13497+0220   NGC5331
F13564+3741   NGC5394/5
F14179+4927   CGCG247-020
F14280+3126   NGC5653
F14348-1447   /
F14378-3651   /
F14423-2039   NGC5734
F14547+2449   VV340a
F14544-4255   IC4518A/B
F15107+0724   CGCG049-057
F15163+4255   VV705
15206-6256    ESO099-G004
F15250+3608   /
F15276+1309   NGC5936
F15327+2340   Arp220
F15437+0234   NGC5990
F16030+2040   NGC6052
F16104+5235   NGC6090
F16164-0746   /
F16284+0411   CGCG052-037
16304-6030    NGC6156
F16330-6820   ESO069-IG006
F16399-0937   /
F16443-2915   ESO453-G005
F16504+0228   NGC6240
F16516-0948   /
F16577+5900   NGC6286
F17132+5313   /
F17138-1017   /
F17207-0014   /
F17222-5953   ESO138-G027
F17530+3447   UGC11041
F17548+2401   CGCG141-034
17578-0400    /
18090+0130    /
F18131+6820   NGC6621
F18093-5744   IC4687
F18145+2205   CGCG142-034
F18293-3413   /
F18329+5950   NGC6670A/B
F18341-5732   IC4734
F18425+6036   NGC6701
F19120+7320   VV414
F19115-2124   ESO593-IG008
F19297-0406   /
19542+1110    /
F19542-3804   ESO339-G011
F20221-2458   NGC6907
20264+2533    MCG+04-48-002
F20304-0211   NGC6926
20351+2521    /
F20550+1655   IIZw096
F20551-4250   ESO286-IG019
F21008-4347   ESO286-G035
21101+5810    /
F21330-3846   ESO343-IG013
F21453-3511   NGC7130
F22118-2742   ESO467-G027
F22132-3705   IC5179
F22287-1917   ESO602-G025
F22389+3359   UGC12150
F22467-4906   ESO239-IG002
F22491-1808   /
F23007+0836   NGC7469
F23024+1916   CGCG453-062
F23128-5919   ESO148-IG002
F23135+2517   IC5298
F23133-4251   NGC7552
F23157+0618   NGC7591
F23157-0441   NGC7592
F23180-6929   ESO077-IG014
F23254+0830   NGC7674
23262+0314    NGC7679
F23365+3604   /
F23394-0353   MCG-01-60-022
23436+5257    /
F23444+2911   Arp86
F23488+1949   NGC7771
F23488+2018   Mrk331
