,Name,RA,Dec,Redshift,D_L [Mpc],log(LIR),LIR_unc x 1e11,AGNbol,AGNbol_unc,SFR [M$_{\odot}$],un-corr SFR [M$_{\odot}$],Supernova rate [yr$^{-1}$] ,un-corr Supernova rate [yr$^{-1}$] ,Flux(TeV) [GeV cm$^{-2}$ s$^{-1}$],Flux(TeV) no AGN [GeV cm$^{-2}$ s$^{-1}$],SigmaIR (x 10$^{10}$ ),R_70 (kpc)
0,NGC0023,00h09m53.32s,+25d55m26.2s,0.01523,65.2,11.11,0.051,0.09,0.04,22.3,24.5,0.2680860714183397,0.294600078481692,6.889599014188006e-12,7.570987927679128e-12,2.048,1.000564499088066
1,NGC0034a,00h11m06.59s,-12d06m25.5s,0.01962,84.1,11.5,0.079,0.04,0.02,57.74,60.15,0.6942311416420991,0.72315743921052,1.0723263713863707e-11,1.1170066368608029e-11,79.18,0.2521171082100415
2,MCG-02-01-051a,00h18m50.87s,-10d22m36.6s,0.02722,117.5,11.67,0.087,0.07,0.05,82.41,88.61,0.9947542579013439,1.0696282343025205,7.871453975775051e-12,8.463929006209734e-12,9.73,0.8746889612705698
3,ESO350-IG038,00h36m52.20s,-33d33m20.8s,0.0206,89.0,11.28,0.094,0.23,0.09,27.53,35.76,0.3355239943727078,0.43574544723728276,4.627628179740705e-12,6.009906726935978e-12,7.641,0.6299919005045419
4,NGC0232a,00h42m45.80s,-23d33m42.0s,0.02217,95.2,11.48,0.301,0.09,0.03,51.55,56.65,0.6284550936047879,0.6906099929722944,7.57556869465416e-12,8.32480076335622e-12,10.697,0.6703152006104625
5,NGC0232b,00h42m52.78s,-23d32m28.9s,0.02217,95.2,10.64,0.051,0.47,0.06,4.33,8.16,0.05290646294558618,0.09982351499167204,6.377488996652306e-13,1.2032998106891143e-12,,
6,MCG+12-02-001,00h54m03.48s,+73d05m03.8s,0.0157,69.8,11.49,0.058,0.06,0.04,54.51,57.99,0.6642945842351529,0.7066963662076094,1.4895831586562557e-11,1.584662934740698e-11,10.264,0.6922321155025178
7,NGC0317B,00h57m40.41s,+43d47m32.9s,0.01811,77.8,11.23,0.039,0.05,0.02,30.47,32.08,0.3689406117058508,0.38835853863773767,6.659048169462038e-12,7.009524388907411e-12,24.822,0.32998308633447937
8,IC1623AB,01h07m47.49s,-17d30m27.1s,0.02007,85.5,11.73,0.09,0.12,0.04,89.43,101.63,1.0807258271653857,1.2280975308697564,1.6150954283722474e-11,1.8353357140593723e-11,7.663,1.0561136432850862
9,MCG-03-04-014,01h10m08.98s,-16d51m09.7s,0.03349,144.0,11.62,0.105,0.07,0.04,73.03,78.53,0.8865756655671092,0.9533071672764615,4.670955281730114e-12,5.022532561000121e-12,3.39,1.3989758475101188
10,ESO244-G012a,01h18m08.15s,-44d27m46.9s,0.02104,91.5,11.4,0.065,0.06,0.03,44.43,47.26,0.5399589097888752,0.5744243721158246,7.045850282585125e-12,7.495585407005452e-12,19.668,0.45084781164818116
11,CGCG436-030,01h20m02.52s,+14d21m42.5s,0.03123,134.0,11.69,0.124,0.09,0.02,83.85,92.15,1.0192348165448943,1.1200382599394445,6.20125429354695e-12,6.814565157743904e-12,20.068,0.6232438757529409
12,ESO353-G020,01h34m51.35s,-36d08m14.8s,0.016,68.8,11.16,0.045,0.08,0.04,25.15,27.33,0.3041029867196445,0.33054672469526575,7.018732584852202e-12,7.629057157448048e-12,5.483,0.6477403369769829
13,ESO297-G011b,01h36m23.43s,-37d19m19.1s,0.01732,74.6,10.84,0.106,0.11,0.05,11.53,12.96,0.14080655232847816,0.15820960935784065,2.7641403891931892e-12,3.1057757181945953e-12,1.885,0.7642833324313929
14,ESO297-G011a,01h36m24.19s,-37d20m27.2s,0.01732,74.6,10.71,0.077,0.07,0.05,9.05,9.73,0.10907263543094206,0.11728240368918502,2.141179312785675e-12,2.3023433470813715e-12,8.864,0.30345562495488615
15,IRASF01364-1042,01h38m52.88s,-10d27m11.1s,0.04825,210.0,11.83,0.262,0.05,0.03,121.87,128.28,1.4687790302849264,1.5460831897736067,3.638586978529246e-12,3.830091556346575e-12,60.976,0.42007864082145385
16,IRASF01417+1651,01h44m30.49s,+17d06m08.9s,0.02794,119.0,11.61,0.028,0.0,0.0,76.6,76.6,0.9316072468665058,0.9316072468665058,7.187102230232433e-12,7.187102230232433e-12,87.24,0.2726165625092721
17,NGC0695,01h51m14.30s,+22d34m55.6s,0.03247,139.0,11.7,0.117,0.09,0.05,85.26,93.69,1.0429758452589502,1.1461273024823628,5.8973857622354086e-12,6.480643694764185e-12,0.695,3.3877992187015664
