# INITIAL SELECTION OF ULTRA-LUMINOUS INFRARED GALAXIES
# -----------------------------------------------------
# UPDATE - March 20, 2021
# Found duplicate for IRAS 07598+6508
# Removed the duplicate, 188 ULIRGs in total
# -----------------------------------------------------
# UPDATE - October 19, 2018
# Removed the object VII Zw 852 because it had a value log10(L_IR/L_sun) = 11.97 < 12.
# -----------------------------------------------------
# Made by Pablo Correa on April 16, 2018 for an IceCube analysis
# Spacing = tab (\t)
# Alignment and name spacing made by hand by Pablo Correa on April 17, 2018, but not required if updated later
#
# Legend
# ------
# Name			 = object name in the NASA/IPAC Extragalactic Database (NED)
# RA			 = right ascension (J2000) in NED [in degrees]
# DEC			 = declination (J2000) in NED [in degrees]
# z			 = redshift in NED
# f_60			 = IRAS flux at 60 micron in NED [in Jansky]
# unc_f_60		 = uncertainty on the IRAS flux at 60 micron in NED [in Jansky]
# L_IR			 = the total infrared luminosity between 8 and 1000 micron [in solar luminosities]
# Catalog		 = the original catalog(s) where the object was identified
# RBGS			 = ULIRG in the revised IRAS Revised Bright Galaxy Sample, reference code: 2003AJ....126.1607S
# FSC			 = ULIRG in the IRAS 1 Jy Faint Source Catalog, reference code: 1998ApJS..119...41K
# PSCz + Spitzer	 	 = ULIRG in the IRAS Point Source Catalog Redshift Survey observed by Spitzer, reference code: 2010MNRAS.405.2505N

Row	Name				RA [deg]		DEC [deg]	z		f_60 [Jy]	unc_f_60 [Jy]	log10(L_IR/L_sun)	Catalog

1	2MASX J00002427-5250313		0.10086		-52.84182	0.124946		1.892		0.132		12.20			PSCz + Spitzer	
2	2MASX J00114330-0722073		2.93050		-7.36865		0.118445		2.626		0.184		12.19			FSC & PSCz + Spitzer	
3	2MASS J00203472-7055262		5.14454		-70.92408	0.326999		1.195		0.084		12.95			PSCz + Spitzer	
4	2MASX J00212652-0839261		5.36051		-8.65722		0.128420		2.592		0.233		12.33			FSC & PSCz + Spitzer	
5	2MASX J00220698-7409418		5.52921		-74.16158	0.096367		4.157		0.208		12.33			PSCz + Spitzer	
6	[HB89] 0027-289 NED02		7.51750		-28.70694	0.278100		0.69		0.055		12.65			PSCz + Spitzer	
7	2MASX J00300908-0027441		7.53784		-0.46234		0.242000		0.625		0.081		12.53			PSCz + Spitzer	
8	GALEXASC J004215.50-125603.2	10.56470		-12.93412	0.261717		1.832		0.128		12.90			FSC & PSCz + Spitzer	
9	GALEXASC J004303.20-311050.3	10.76337		-31.18044	0.342400		0.718		0.057		12.81			PSCz + Spitzer	
10	2MASX J00480675-2848187		12.02829		-28.80517	0.110003		2.598		0.182		12.12			FSC & PSCz + Spitzer	
11	GALEXASC J005040.35-270440.6	12.66792		-27.07800	0.129200		1.134		0.136		12.00			FSC & PSCz + Spitzer	
12	GALEXASC J010250.01-222157.4	15.70837		-22.36589	0.117835		2.287		0.16		12.24			FSC & PSCz + Spitzer	
13	2MASX J01190760-0829095		19.78212		-8.48620		0.118205		1.743		0.105		12.03			FSC & PSCz + Spitzer	
14	IRAS 01199-2307			20.58726		-22.86852	0.156205		1.606		0.096		12.26			FSC & PSCz + Spitzer	
15	GALEXASC J013221.29-072909.5	23.08914		-7.48557		0.136181		2.473		0.148		12.27			FSC & PSCz + Spitzer	
16	GALEXASC J013757.48-175920.6	24.48920		-17.98905	0.192000		1.403		0.084		12.39			FSC & PSCz + Spitzer	
17	2MASX J01405591-4602533		25.23283		-46.04822	0.090289		2.914		0.204		12.12			PSCz + Spitzer	
18	2MASX J01515140-1830464		27.96432		-18.51288	0.158000		1.288		0.09		12.23			FSC & PSCz + Spitzer	
19	2MASX J01590262+2542367		29.76087		25.71017		0.165664		0.809		0.057		12.24			PSCz + Spitzer	
20	2MASX J01591372-2924356		29.80745		-29.40973	0.140000		1.734		0.139		12.15			FSC & PSCz + Spitzer	
21	MRK 1014				29.95921		0.39462		0.163110		2.224		0.178		12.53			FSC & PSCz + Spitzer	
22	2MASX J02042730-2049413		31.11383		-20.82817	0.116000		1.446		0.116		12.01			FSC & PSCz + Spitzer	
23	GALEXASC J021332.93-292337.3	33.38762		-29.39431	0.192296		0.944		0.076		12.41			PSCz + Spitzer	
24	2MASX J02434617+0406377		40.94198		4.11021		0.143602		1.369		0.082		12.19			FSC & PSCz + Spitzer	
25	IRAS 02456-2220			41.96374		-22.12718	0.296000		0.816		0.049		12.72			PSCz + Spitzer	
26	2MASS J02500170-3732441		42.50704		-37.54584	0.165000		1.252		0.063		12.23			FSC	
27	2MASX J03021145-2707263		45.54762		-27.12397	0.221400		0.918		0.083		12.55			PSCz + Spitzer	
28	IRAS 03158+4227			49.80167		42.64111		0.134430		4.256		0.511		12.61			PSCz + Spitzer	
